name,category,price,stock_level,description,image_url
"Brown Leather Satchel",handbag,79.99,12,"Genuine leather with brass hardware","uploads/products/item_01.jpg"
"Black Structured Tote",handbag,89.50,8,"Structured silhouette with gold-tone accents","uploads/products/item_02.jpg"
"Black Crossbody Bag",handbag,45.00,15,"Compact crossbody with adjustable strap","uploads/products/item_03.jpg"
"Black Evening Clutch",handbag,59.99,6,"Satin-lined clutch with crystal clasp","uploads/products/item_04.jpg"
"Maroon Mini Bag",handbag,39.99,20,"Mini bucket style with drawstring","uploads/products/item_05.jpg"
"White Smartwatch",watch,149.99,10,"Fitness tracking, heart-rate monitor","uploads/products/item_06.jpg"
"Black Analog Watch",watch,129.99,7,"Classic black dial with leather strap","uploads/products/item_07.jpg"
"Rose Gold Chronograph",watch,179.99,5,"Chronograph functions, rose-gold case","uploads/products/item_08.jpg"
"Gold Dress Watch",watch,199.99,4,"Slim gold case with diamond markers","uploads/products/item_09.jpg"
"Floral Print Tote",handbag,55.00,18,"Canvas tote with floral pattern","uploads/products/item_10.jpg"
"Teal Quilted Handbag",handbag,69.99,9,"Quilted faux leather, silver chain","uploads/products/item_11.jpg"
"Brown Briefcase",handbag,119.99,3,"Full-grain leather briefcase","uploads/products/item_12.jpg"
"Fringed Suede Bag",handbag,74.99,11,"Western-style fringe detail","uploads/products/item_13.jpg"
"Orange Designer Tote",handbag,249.99,2,"Limited edition designer piece","uploads/products/item_14.jpg"
"Pink Smart Band",watch,69.99,25,"Step counter, sleep tracking","uploads/products/item_15.jpg"
"Pink Fitness Tracker",watch,59.99,30,"Lightweight fitness band","uploads/products/item_16.jpg"
"Blue Dive Watch",watch,219.99,4,"100m water resistant, luminous hands","uploads/products/item_17.jpg"
"Black Fountain Pen",watch,89.99,8,"Luxury pen with gold nib","uploads/products/item_18.jpg"
"Gold Luxury Watch",watch,399.99,1,"18K gold case, sapphire crystal","uploads/products/item_19.jpg"
"Black Mini Wallet",handbag,29.99,22,"Compact bi-fold wallet","uploads/products/item_20.jpg"
"Beige Shopper Bag",handbag,49.99,14,"Large canvas shopper","uploads/products/item_21.jpg"
"White Designer Bag",handbag,189.99,3,"Signature monogram pattern","uploads/products/item_22.jpg"
"Leather Passport Holder",handbag,34.99,20,"RFID-blocking leather holder","uploads/products/item_23.jpg"
"Brown Leather Belt",handbag,42.99,15,"Reversible leather belt","uploads/products/item_24.jpg"
"Colorful Watch Set",watch,79.99,12,"Set of 3 interchangeable straps","uploads/products/item_25.jpg"
"Silver Chronograph",watch,169.99,6,"Stainless steel chronograph","uploads/products/item_26.jpg"
"Green Military Watch",watch,99.99,9,"Rugged field watch","uploads/products/item_27.jpg"
"Burgundy Evening Bag",handbag,64.99,10,"Velvet clutch with chain strap","uploads/products/item_28.jpg"
"Black Structured Bag",handbag,82.99,7,"Top-handle structured bag","uploads/products/item_29.jpg"
"Gold Skeleton Watch",watch,279.99,2,"Automatic movement, visible gears","uploads/products/item_30.jpg"
"Silver Pocket Watch",watch,119.99,5,"Classic pocket watch with chain","uploads/products/item_31.jpg"
"Black Leather Pouch",handbag,38.99,18,"Drawstring leather pouch","uploads/products/item_32.jpg"
"Multi-Color Watch Faces",watch,89.99,11,"Digital watch with swappable faces","uploads/products/item_33.jpg"
